Original Time,Rewritten Time
4 October 2009,early October 2009
1991,nearly two decades before
August 2010,around a year later
October 2010,The following month
August 2010,the summer of that same year
February 2012,early 2012
In 1984,"""that year"""
From 2010 until 2013,"""From 2010 until three years later"""
In mid-September 2020,"""In mid-September a couple of years later"""
in November 2020,"""two months later"""
in April 2023,"""last April"""
17 October 1963,"""17 October"""
September 1966,"""September"""
23 August 1966,"""that same month"""
June 1968,"""the following year"""
August 1968,"""that same year"""
December 1968,"""A few months later"""
30 June 1973,"""shortly before 1974"""
19 January 1975,"""early 1975"""
1948,around seven decades ago
1967,more than five decades ago
1971,more than fifty years ago
1975,nearly five decades ago
October 1976,a year later
"October 17, 1977",in mid-October four decades ago
1978,roughly forty-five years ago
1978,four and a half decades ago
July 1979,approximately 44 years ago
1980,four decades back
"March 24, 1980",in late March four decades ago
"May 29, 1980",in late May the same year
"August 21, 1981",42 years ago
January 1986,nearly 38 years ago
"January 17, 1990",more than three decades ago
"February 4, 1994",early 1994
"January 22, 1998",early 1998
2013,about a decade ago
2015,a few years ago
1933,many years ago
1935,some time later
28 March 1942,a memorable spring day in the early 1940s
11 April 1945,shortly after the end of World War II
1946,a few years later
24 June 1943,when Thatcher was in Sicily
1946,after being demobilised
1947,a year after this event
1951,within a few years
13 December 1951,in the late autumn of the same year
1953,In the mid-1950s
15 August,during the summer
1953,a significant cricket match
1966,decades later
October 1970,during the autumn of a year near the start of the 1970s
1979,the late 1970s
1975,some years after their marriage
1976,a year later
1979 to 1990,shortly before the 1980s
July 1983 until January 1994,the summer of the early 1980s until early in the 1990s
1983,during that same summer
1989,on the tenth anniversary of her becoming prime minister
1992,early 1990s
June 1945,"""shortly after World War II ended"""
1946,"""a year later"""
1947,"""a couple of years post World War II"""
"August 29, 1947","""one year after the USAF was formed"""
1949,"""two years later"""
September 1949,"""a few months later"""
1950,"""a year after transferring"""
1954,"""four years later"""
1956,"""two years later"""
1959,"""three years later"""
"June 23, 1956","""a summer day four years after the U.S. transferred its base"""
"May 3, 1957","""a year later"""
"April 9, 1959","""in spring of two years later"""
1960,"""a year later"""
1962 and 1967,"""the early and mid-1960s"""
1962,"""two years before Cooper"""
"November 14, 1962","""in late 1962"""
October 1963,"""a year later"""
"January 30, 1963","""during the early months of the year Cooper's flight"""
1951,that same year
"January 4, 1957",early 1957
"December 22, 1957",later that year
"September 10, 1965",that same month
1966,shortly after
April 1966,less than a decade later
"June 6, 1967",later that year
"October 1, 1969",in the fall of 1969
"March 26, 1970",in the spring of 1970
January 1971,at the beginning of 1971
"August 13, 1971",a few months later
"May 23, 1972",by late May of the following year
1973,the same year
1972,a year prior
1981,many years ago
1985,mid-1980s
1986,about a year later
27 April 1989,late April of the late 1980s
July 1991,the early 1990s
October 1991,shortly
2 October 1991,early October of the same year
26 December 1991,around the end of that year
April 1993,the spring of the early 1990s
September 1993,the fall of that year
3 February 1994,early February of the mid-1990s
December 1998,the late 1990s
2007,the late 2000s
15 February 2007,mid-February of the late 2000s
23 May 2007,late May of the same year
15 June 2007,mid-June of that year
2009 to 2014,the early to mid-2010s
14 February 2012,February of the 2010s
14 September of the same year,mid-September of the same year
1973,over four decades ago
1976,three years later
1990,the subsequent year
20 December 1990,the closing days of 1990
2001,roughly two decades ago
2001,Around the same time
2004,three years later
2004,a year later
2004,In that same year
2009,October of that same year
2011,roughly the same time
2012,the next year
2013,a year later
2017,six years ago
October 1993,decades ago
1994,the following year
1995,a few months later
2000,the early 2000s
2014,several years ago
December 1955,around a decade after World War II
1955,the mid-1950s
1959,the late 1950s
"April 2, 1959",shortly after
early 1962,early in the 1960s
early 1962,the early 1960s
September 1962,later that same year
"March 15, 1962",March
October 1963,toward the end of 1963
November 1963,shortly after
April 1967,a while later
1969,around the time of Apollo 13
November 1963,shortly thereafter
1970,as the 1970s began
1971,a few years later
March 1972,at the start of the 1970s
"September 9, 1982",the early 1980s
"June 13, 1993",the early 1990s
"December 6, 2015",December 2015
before 1947–48,before the emergence of India and Pakistan as independent nations
from 1982 to 1985,for a few years in the early 1980s
In 1985,A bit later in 1985
from 2000 to 2005,from the start of the new millennium to a few years after
in 2011,a decade ago
in the 2011–12 parliamentary election and in the 2012 presidential election,around a decade ago (parliamentary)
of January 2011,earlier in January of the same year
in January 2011,earlier that year
on 28 January 2011,at the end of January that year
1958,years later
from 1958 to 1975,for nearly two decades beginning in the late 1950s
in 2000,early in the 21st century
1986,many years ago
September 2017,almost a decade ago
around 1997,approximately 26 years ago
In 1997,During that time
In 2008,A few years later
April 2008,In the same year
2008,that same year
On 2 June 2009,A year later
In 2010,Two years later
21 September 2010,soon
September 2013,about ten years ago
12 July 2013,later that year
From 2016 to 2018,A few years later
In 2017,During that time
December 2017,A month before the end of that year
November 2017,A month before that
1993,30 years ago
August 1996,late summer of 1996
August 2001,two decades ago
2011,more than a decade ago
July 2015,8 years ago
1998,late 1990s
March 2001,spring of 2001
August,late summer
2002,early 2000s
2005,several years later
"February 18, 2005",a February day more than a decade ago
2007,A couple of years later
June 2011,summer of 2011
January 2013,start of 2013
September 2022,a little more than a year ago
1970,that same year
2012,a decade ago
1986,less than a year later
2003,two decades ago
2008,a decade and a half ago
2019,that same year
"September 14, 2019",On that date
September 2023,this year
1977,the late 1970s
1980,a few years later
1978,late 1970s
1983 to 1984,early 1980s
1994,mid-1990s
1999,late in the 1990s
2000 to 2003,a couple of decades ago
April 2021,Not long before September 2021
three years before,a few years before
1946 to 1948,many decades ago
spring of 1952,spring of 1952
"February 1, 1954","February 1, 1954"
January 1958,At the start of 1958
1960,1960
September 1962,over six decades ago
"July 1, 1965",a bit more than half a century ago
"October 15, 1965",more than half a century ago
1967,1967
1968,1968
"August 10, 1968",mid-1968
"December 21, 1968",later that year
"January 3, 1969",the first weekday of 1969
"April 24, 1970",a little over a year later
1970,1970
1977,1977
"January 1, 1991",at the beginning of 1991
1982,1982
1994,two decades after his moon mission
2006,nearly two decades ago
October 2010,almost a decade and a half ago
February 2014,nine years ago
April 2015,the following year
December 2016,six years ago
"August 27, 2023",not long ago
"November 7, 2023",very recently
24 November 1968,"""November 1968"""
1972,"""four years later"""
1983,"""two decades ago"""
1996,"""a year later"""
2004,"""over 15 years ago"""
2004 to 2005,"""for a year"""
2014,"""a decade ago"""
2014,"""February 2014"""
1953,in decades
"October 7, 2010",years ago
2011,A while back
"January 8, 2011",years ago
"February 4, 2011",shortly after the incident
"February 4, 2011",some time after the shooting
2013,a decade ago
"March 31, 2013",Later that year
1915,during the First World War
1929,just a decade after the film was released
"May 1, 1930",a spring day in the early 1930s
May 1932,the early 1930s
late 1936,about three years before World War II erupted in Europe
May 1937,about a year later
"November 26, 1937",not too long before Christmas that same year
November 1945,the last months of 1945
March 1945,During the war's closing months in 1945
January 1946,the first month of the next year
March 1946,early spring 1946
August 1946,by late summer that year
January 1947,the first month of 1947
April,beginning of spring
"April 14, 1949",during spring 1949
1950,the early 1950s
"June 25, 1950",Just before halfway through 1950
1905,early 20th-century
1936,Decades later
30 October 1957,Just over two years after the launch of Sputnik 1
13 December 1959,A couple of years after his graduation
